Szállítások
"Rendelés Azonosító","Szállítási Dátum","Cikkszám","Partner Azonosító","Név","Mennyíség",
"Szállítási Dátum","Súly(Kg)",
Nyított Rendelések
"Rendelés Dátum","Határ Idő","Partner Azonosító","Rendelés Azonosító","Order Item Seq Id","Cikkszám","Név","Mennyíség","Szállított db","Szállítando db","Súly(Kg)","Progres Net Weight",
"2024.12.02.","2025.01.06.","Stovax","10091","00006","230484","CA8017","95","0","95","160,17","16 265,45",
"2024.12.02.","2025.01.06.","Stovax","10091","00007","230705","CA7179","50","0","50","475","16 740,45",
"2024.12.02.","2025.01.06.","Stovax","10092","00001","230706","CA7682","150","0","150","300","17 040,45",
"2024.12.02.","2025.01.06.","Stovax","10092","00002","230477","CA8009","75","0","75","166,425","17 206,875",
"2024.12.02.","2025.01.06.","Stovax","10092","00004","230482","CA8015","50","0","50","418,25","17 625,125",
"2024.12.01.","2025.01.06.","Stovax","10093","00002","230462","CA7680","50","0","50","55","17 680,125",
"2024.12.01.","2025.01.06.","Stovax","10093","00003","230706","CA7682","50","0","50","100","17 780,125",
"2024.12.01.","2025.01.06.","Stovax","10093","00004","230458","CA7050","75","0","75","120","17 900,125",
"2024.12.01.","2025.01.20.","AGARangemaster","10099","00002","120767","Q00003","100","72","28","84","17 984,125",
"2024.12.01.","2025.01.20.","AGARangemaster","10099","00007","120646","Q00207AXX","100","0","100","1 420","19 404,125",
"2024.12.01.","2025.01.20.","AGARangemaster","10099","00008","120649","Q00212AXX","100","0","100","110","19 514,125",
"2024.12.01.","2025.01.20.","AGARangemaster","10099","00009","120763","FS4M997723","20","0","20","12","19 526,125",
"2025.01.16.","2025.01.21.","Kazi Kazán","10104","00001","100604","470x100 rostély (kolozsi) Alphatherm","500","200","300","1 005","20 531,125",
"2025.01.09.","2025.01.23.","Wamsler","10096","00001","102100","137849 - 5000 ÉGÖGYÜRÜ 4/5 KW (OU OS OZ)","130","0","130","63,7","20 594,825",
"2025.01.09.","2025.01.23.","Wamsler","10096","00002","102148","137920 - DELTA ROSTÉLY / Rost (Delta)","100","0","100","180","20 774,825",
"2025.01.09.","2025.01.23.","Wamsler","10096","00003","102046","137752 - TÜZELÖAJTÓ ABL  (KAM)","110","0","110","306,9","21 081,725",
"2025.01.09.","2025.01.23.","Wamsler","10096","00004","102033","137652 - TÜZELÖAJTÓ-KERET ABL ÖNT (CA CO)","100","0","100","228","21 309,725",
"2025.01.09.","2025.01.23.","Wamsler","10096","00005","102034","137653 - TÜZELÖAJTÓ ABL ÖNT (CA CO)","80","0","80","154,4","21 464,125",
"2025.01.09.","2025.01.23.","Wamsler","10096","00006","102136","137901 - PARÁZSAJTÓ (KAM8)","200","0","200","300","21 764,125",
"2025.01.09.","2025.01.23.","Wamsler","10096","00007","102043","137748 - FÜSTCSÖCSONK PEREMMEL (S114 KAM)","150","0","150","202,5","21 966,625",
"2025.01.09.","2025.01.23.","Wamsler","10096","00008","102028","137647 - FEDLAP ÖNT (CA DE CO)","120","0","120","559,2","22 525,825",
"2025.01.09.","2025.01.23.","Wamsler","10096","00009","102269","138179 - CA 7624","100","0","100","320","22 845,825",
"2025.01.09.","2025.01.23.","Wamsler","10096","00010","102042","137745 - FÜSTCSÖCSONK  (SA S114 KAM LK)","330","0","330","379,5","23 225,325",
"2025.01.09.","2025.01.23.","Wamsler","10096","00011","102049","137756 - HAMUAJTÓ-KERET ÖNT (KAM6)","150","0","150","571,5","23 796,825",
"2024.12.01.","2025.01.23.","Pisla","10101","00001","100819","4030010T - STOVE TOP 530X530 TIILERI WITH KL4 szett","50","0","50","1 160","24 956,825",
"2024.12.01.","2025.01.23.","Pisla","10101","00002","100858","M117101002 - HTT-102 KV","150","0","150","570","25 526,825",
"2024.12.01.","2025.01.23.","Pisla","10101","00003","100800","40600010 - HTT 1B FIRE GRATE 135X290","4 800","0","4 800","6 480","32 006,825",
"2024.12.01.","2025.01.23.","Pisla","10101","00004","100802","40600050 - HTT 3 FIRE GRATE 140X390 rács","1 200","0","1 200","3 120","35 126,825",
"2024.12.01.","2025.01.23.","Pisla","10101","00005","100801","40600090 - HTT 3B FIRE GRATE 210X405 (mod 2020-07-24)","800","0","800","3 200","38 326,825",
"2024.12.01.","2025.01.23.","Pisla","10101","00006","100808","40600330 - HTT 1D FIRE GRATE 135X250","600","0","600","1 020","39 346,825",
"2024.12.01.","2025.01.23.","Pisla","10101","00007","100970","40600590 - HTT 194x400 POT GRATE","200","0","200","780","40 126,825",
"2024.12.01.","2025.01.23.","Pisla","10101","00008","100972","40600610 - HTT 150 x 350 rostély","200","0","200","630","40 756,825",
"2024.12.01.","2025.01.23.","Pisla","10101","00009","100987","4040031M - HTT 505 csomagolva/doboz/312/raklap","312","0","312","561,6","41 318,425",
"2024.12.01.","2025.01.23.","Pisla","10101","00010","100986","40400070 - HTT 105 csomagolva/doboz/312/raklap","312","0","312","561,6","41 880,025",
"2024.12.01.","2025.01.23.","Pisla","10101","00011","121105","40900600 - Korpi ECO stove Black fekete DEEP FORREST br.80kg","20","0","20","1 340","43 220,025",
"2025.01.20.","2025.01.23.","Wamsler","10102","00001","102122","137878 - KÖZÉPSÖ BETÉT (KAMU8) TRENDY","30","0","30","95,22","43 315,245",
"2025.01.20.","2025.01.23.","Wamsler","10102","00002","102123","137879 - TRENDY MOZGATÓGOMB NS","30","0","30","2,31","43 317,555",
"2025.01.20.","2025.01.23.","Wamsler","10102","00003","102051","137758 - TÜZELÖAJTÓ TELE/HAMUAJTÓ (KAM)","80","0","80","426,4","43 743,955",
"2025.01.20.","2025.01.23.","Wamsler","10102","00004","102134","137899 - TÜZELÖAJTÓ-KERET (KAM8) SZÜK","50","0","50","285","44 028,955",
"2025.01.20.","2025.01.23.","Wamsler","10102","00005","102132","137896 - KÖZÉPSÖ BETÉT (KAM8)","40","0","40","96","44 124,955",
"2025.01.01.","2025.01.30.","Fireplace","10098","00002","101557","5490-021","100","0","100","570","44 694,955",
"2025.01.01.","2025.01.30.","Fireplace","10098","00003","101557","5490-021","50","0","50","285","44 979,955",
"2025.01.01.","2025.01.30.","Fireplace","10098","00004","101573","5490-081B","60","0","60","759","45 738,955",
"2025.01.01.","2025.01.30.","Fireplace","10098","00006","101564","5490-176","100","0","100","900","46 638,955",
"2024.11.28.","2025.01.31.","Bilz","10110","00001","101142","BNR 110 ÚJ","2 000","0","2 000","2 060","48 698,955",
"2024.11.28.","2025.01.31.","Bilz","10110","00002","101174","BNR 120 VOLL","200","0","200","600","49 298,955",
"2024.11.28.","2025.01.31.","Bilz","10110","00003","101135","BNR 150 ÚJ","600","0","600","768","50 066,955",
"2024.11.28.","2025.01.31.","Bilz","10110","00004","101172","BNR 200 ÚJ","300","0","300","822","50 888,955",
"2024.11.28.","2025.01.31.","Bilz","10110","00005","101136","BNR 50","3 000","0","3 000","750","51 638,955",
"2024.11.28.","2025.01.31.","Bilz","10110","00006","101169","BNR 70","3 000","0","3 000","900","52 538,955",
"2024.11.28.","2025.01.31.","Bilz","10110","00007","101138","BNR 80","1 500","0","1 500","450","52 988,955",
"2024.11.28.","2025.01.31.","Bilz","10110","00008","101160","BNV 110/8","1 000","0","1 000","1 150","54 138,955",
"2024.11.28.","2025.01.31.","Bilz","10110","00009","101162","BNV 150 ÚJ","200","0","200","460","54 598,955",
"2024.11.28.","2025.01.31.","Bilz","10110","00010","101163","BNV 200 új","200","0","200","840","55 438,955",
"2024.11.28.","2025.01.31.","Bilz","10110","00011","101157","BNV 50","3 000","0","3 000","900","56 338,955",
"2024.11.28.","2025.01.31.","Bilz","10110","00012","101159","BNV 80","1 500","0","1 500","600","56 938,955",
"2024.12.02.","2025.02.06.","Stovax","10094","00001","230460","CA7679","200","175","25","20","56 958,955",
"2024.12.02.","2025.02.06.","Stovax","10094","00002","230462","CA7680","250","0","250","275","57 233,955",
"2024.12.02.","2025.02.06.","Stovax","10094","00003","230706","CA7682","100","0","100","200","57 433,955",
"2024.12.02.","2025.02.06.","Stovax","10094","00004","230707","CA7686","150","0","150","165","57 598,955",
"2024.12.02.","2025.02.06.","Stovax","10094","00005","230708","CA7687","150","0","150","195","57 793,955",
"2024.12.02.","2025.02.06.","Stovax","10094","00006","230475","CA8008","50","0","50","200","57 993,955",
"2024.12.02.","2025.02.06.","Stovax","10094","00007","230484","CA8017","50","0","50","84,3","58 078,255",
"2024.12.02.","2025.02.06.","Stovax","10094","00009","230705","CA7179","50","0","50","475","58 553,255",
"2024.12.02.","2025.02.06.","Stovax","10094","00010","230458","CA7050","75","0","75","120","58 673,255",
"2024.12.02.","2025.02.06.","Stovax","10094","00011","230801","MEC9296","50","0","50","445","59 118,255",
"2025.01.14.","2025.02.07.","Pisla","10060","00001","100991","P401004701 - HTT 601 set","50","0","50","630","59 748,255",
"2025.01.14.","2025.02.07.","Pisla","10060","00002","100923","M117411001 - HTT 412-01  keret megmunkált","200","0","200","470","60 218,255",
"2025.01.14.","2025.02.07.","Pisla","10060","00003","100807","40600110 - HTT 2K FIRE GRATE 175X425(rács+keret","210","0","210","966","61 184,255",
"2025.01.14.","2025.02.07.","Pisla","10060","00005","100800","40600010 - HTT 1B FIRE GRATE 135X290","4 800","0","4 800","6 480","67 664,255",
"2025.01.14.","2025.02.07.","Pisla","10060","00006","100971","40600630 - HTT 210 x 360 rostély","150","0","150","742,5","68 406,755",
"2025.01.14.","2025.02.07.","Pisla","10060","00007","100806","40600130 - HTT 3K FIRE GRATE 210X410(rács+keret","450","0","450","2 227,5","70 634,255",
"2025.01.14.","2025.02.07.","Pisla","10060","00008","100804","40600070 - HTT 1 FIRE GRATE 260X415","600","0","600","4 620","75 254,255",
"2025.01.14.","2025.02.07.","Pisla","10060","00009","100970","40600590 - HTT 194x400 POT GRATE","200","0","200","780","76 034,255",
"2025.01.14.","2025.02.07.","Pisla","10060","00010","100984","40400090 - HTT 106 csomagolva/doboz/312/raklap","312","0","312","421,2","76 455,455",
"2025.01.14.","2025.02.07.","Pisla","10060","00011","100810","40600250 - HTT 57 FIRE GRATE 240X415","150","0","150","1 275","77 730,455",
"2025.01.14.","2025.02.07.","Pisla","10060","00012","100986","40400070 - HTT 105 csomagolva/doboz/312/raklap","312","0","312","561,6","78 292,055",
"2025.01.14.","2025.02.07.","Pisla","10060","00013","100919","P402002901 - HTT402 szet(402-01+02 megmunkálva)","40","0","40","657,2","78 949,255",
"2024.12.02.","2025.02.07.","Stovax","10095","00001","230435","CA7663","25","0","25","37,5","78 986,755",
"2024.12.02.","2025.02.07.","Stovax","10095","00002","230706","CA7682","50","0","50","100","79 086,755",
"2024.12.02.","2025.02.07.","Stovax","10095","00003","230438","CA7685","25","0","25","47","79 133,755",
"2024.12.02.","2025.02.07.","Stovax","10095","00004","230704","CA7063","75","0","75","360","79 493,755",
"2024.12.02.","2025.02.07.","Stovax","10095","00005","230457","CA7064","150","0","150","840","80 333,755",
"2024.12.02.","2025.02.07.","Stovax","10095","00006","230703","CA7057","25","0","25","220","80 553,755",
"2024.12.02.","2025.02.07.","Stovax","10095","00007","230440","CA7145","50","0","50","375,5","80 929,255",
"2024.12.02.","2025.02.07.","Stovax","10095","00008","230701","CA7027","27","0","27","170,1","81 099,355",
"2024.12.02.","2025.02.07.","Stovax","10095","00009","230762","CA7056","25","0","25","32,5","81 131,855",
"2024.12.02.","2025.02.07.","Stovax","10095","00010","230414","CA7485","75","0","75","60","81 191,855",
"2024.12.02.","2025.02.07.","Stovax","10095","00011","230415","CA7486","75","0","75","52,5","81 244,355",
"2024.12.02.","2025.02.07.","Stovax","10095","00012","230425","CA7503","25","0","25","25","81 269,355",
"2024.12.02.","2025.02.07.","Stovax","10095","00013","230410","CA7479","25","0","25","15","81 284,355",
"2024.12.02.","2025.02.07.","Stovax","10095","00014","230411","CA7480","25","0","25","15","81 299,355",
"2025.01.06.","2025.02.17.","Bilz","10100","00001","101169","BNR 70","300","0","300","90","81 389,355",
"2025.01.06.","2025.02.17.","Bilz","10100","00002","101142","BNR 110 ÚJ","2 000","0","2 000","2 060","83 449,355",
"2025.01.06.","2025.02.17.","Bilz","10100","00003","101159","BNV 80","1 000","0","1 000","400","83 849,355",
"2025.01.06.","2025.02.17.","Bilz","10100","00004","101133","Kalotte 150","700","0","700","840","84 689,355",
"2025.01.06.","2025.02.17.","Bilz","10100","00005","101133","Kalotte 150","700","0","700","840","85 529,355",
"2025.01.01.","2025.02.20.","Kazi Kazán","10097","00001","100510","DT-131","800","720","80","212,8","85 742,155",
"2025.01.01.","2025.02.20.","Kazi Kazán","10097","00004","100568","PEK-9","800","0","800","3 656","89 398,155",
"2025.01.01.","2025.02.20.","Kazi Kazán","10097","00005","100572","FK-Lap Salgó","150","134","16","99,2","89 497,355",
"2025.01.01.","2025.02.20.","Kazi Kazán","10097","00006","100573","FK-200 Korong","150","134","16","16,8","89 514,155",
"2025.01.08.","2025.03.03.","Stovax","10090","00002","230462","CA7680","250","100","150","165","89 679,155",
"2025.01.08.","2025.03.03.","Stovax","10090","00003","230827","ca7990","25","0","25","155","89 834,155",
"2025.01.08.","2025.03.03.","Stovax","10090","00004","230474","CA8007","100","0","100","146","89 980,155",
"2025.01.08.","2025.03.03.","Stovax","10090","00005","230477","CA8009","75","0","75","166,425","90 146,58",
"2025.01.08.","2025.03.03.","Stovax","10090","00006","230480","CA8012","50","0","50","140,8","90 287,38",
"2025.01.08.","2025.03.03.","Stovax","10090","00007","230482","CA8015","75","0","75","627,375","90 914,755",
"2025.01.08.","2025.03.03.","Stovax","10090","00008","230483","CA8016","50","0","50","482","91 396,755",
"2025.01.08.","2025.03.03.","Stovax","10090","00009","230484","CA8017","100","0","100","168,6","91 565,355",
"2025.01.08.","2025.03.03.","Stovax","10090","00010","230802","MEC9300","50","0","50","325","91 890,355",
"2025.01.08.","2025.03.03.","Stovax","10090","00011","230801","MEC9296","50","0","50","445","92 335,355",
"2025.01.08.","2025.04.07.","Stovax","10054","00001","230459","CA7678","75","0","75","120","92 455,355",
"2025.01.08.","2025.04.07.","Stovax","10054","00003","230806","CA7824","25","0","25","250","92 705,355",
"2025.01.08.","2025.04.07.","Stovax","10054","00004","230827","ca7990","25","0","25","155","92 860,355",
"2025.01.08.","2025.04.07.","Stovax","10054","00006","230477","CA8009","75","0","75","166,425","93 026,78",
"2025.01.08.","2025.04.07.","Stovax","10054","00007","230478","CA8010","25","0","25","112,5","93 139,28",
"2025.01.08.","2025.04.07.","Stovax","10054","00009","230481","CA8014","100","0","100","674,1","93 813,38",
"2025.01.08.","2025.04.07.","Stovax","10054","00010","230482","CA8015","50","0","50","418,25","94 231,63",
"2025.01.08.","2025.04.07.","Stovax","10054","00011","230484","CA8017","150","130","20","33,72","94 265,35",
"2025.01.08.","2025.04.07.","Stovax","10054","00012","230458","CA7050","50","0","50","80","94 345,35",
"2025.01.08.","2025.04.07.","Stovax","10054","00013","230801","MEC9296","100","50","50","445","94 790,35",
Termékek szállított mennyísége
"Cikkszám","Név","Mennyíség",
